Date,Open,High,Low,Close,Adj Close,Volume
2014-03-24,22518.900391,22588.900391,22065.000000,22167.099609,22053.138672,11344
2014-03-25,22294.000000,22450.000000,22000.000000,22205.699219,22091.539063,22250
2014-03-26,22239.900391,22320.000000,21770.000000,21863.699219,21751.296875,13012
2014-03-27,21701.000000,22156.000000,20773.300781,21118.300781,21009.730469,21138
2014-03-28,21350.000000,21674.000000,21151.000000,21459.199219,21348.875000,9983
2014-03-31,21685.000000,21988.800781,21459.199219,21788.800781,21676.785156,7958
2014-04-01,21810.699219,21974.900391,21610.000000,21669.300781,21557.900391,5416
2014-04-02,21910.000000,22344.000000,21651.199219,22276.300781,22161.781250,16004
2014-04-03,22399.000000,22399.199219,21931.000000,22216.900391,22102.683594,10453
2014-04-04,22222.000000,22477.800781,22010.000000,22379.900391,22264.849609,10538
2014-04-07,22326.800781,22488.000000,22251.000000,22290.699219,22176.103516,6469
2014-04-09,22290.699219,22525.000000,22180.000000,22388.199219,22273.097656,4261
2014-04-10,22599.000000,22749.000000,21969.900391,22146.800781,22032.943359,12285
2014-04-11,22200.000000,22998.900391,22140.000000,22837.300781,22719.894531,11515
2014-04-15,22837.300781,23500.000000,22800.099609,23464.199219,23343.570313,16263
2014-04-16,23400.000000,23690.000000,23350.000000,23454.900391,23334.316406,9293
2014-04-17,23450.199219,23835.000000,23450.199219,23750.099609,23628.000000,12911
2014-04-21,23750.099609,23899.000000,23350.000000,23568.199219,23447.035156,9145
2014-04-22,23600.000000,25925.099609,21380.000000,22228.599609,22114.322266,71887
2014-04-23,22088.000000,22483.900391,21511.000000,21697.400391,21585.855469,46676
2014-04-24,21697.400391,21697.400391,21697.400391,21697.400391,21585.855469,0
2014-04-25,21500.000000,22000.000000,20251.000000,20428.500000,20323.478516,48382
2014-04-28,20399.000000,20924.900391,19816.099609,20656.300781,20550.109375,40884
2014-04-29,20735.000000,20999.000000,20525.000000,20721.599609,20615.070313,10505
2014-04-30,20678.000000,20890.000000,20375.000000,20528.599609,20423.060547,7578
2014-05-02,20528.599609,20790.099609,20502.500000,20714.000000,20607.509766,6697
2014-05-05,20677.000000,20930.000000,20607.000000,20641.099609,20534.984375,3462
2014-05-06,20642.000000,20905.000000,20642.000000,20812.699219,20705.703125,5216
2014-05-07,20605.000000,20925.000000,20604.500000,20761.199219,20654.462891,7792
2014-05-08,20632.000000,21392.000000,20632.000000,21287.900391,21178.458984,8068
2014-05-09,21290.099609,21498.000000,21052.000000,21417.199219,21307.093750,10443
2014-05-12,21450.000000,21747.000000,21410.099609,21602.199219,21491.142578,6906
2014-05-13,21675.000000,21784.900391,21200.000000,21404.800781,21294.759766,6127
2014-05-14,21409.000000,22046.900391,21259.000000,21902.300781,21789.703125,9202
2014-05-15,21902.199219,22029.900391,21510.000000,21584.800781,21473.832031,6651
2014-05-16,21950.000000,22670.000000,21715.000000,22222.800781,22108.554688,9590
2014-05-19,22161.000000,23000.000000,22161.000000,22820.199219,22702.876953,4635
2014-05-20,22905.000000,23002.199219,22567.300781,22775.900391,22658.810547,5187
2014-05-21,22769.000000,22975.000000,22401.000000,22445.300781,22329.908203,7873
2014-05-22,22542.900391,23045.000000,22542.000000,22833.400391,22716.015625,5556
2014-05-23,22850.000000,23278.599609,22850.000000,23143.500000,23024.521484,5095
2014-05-26,23200.000000,23390.000000,22750.099609,23076.400391,22957.763672,9200
2014-05-27,23098.000000,23100.000000,22550.000000,22731.699219,22614.837891,5540
2014-05-28,23020.000000,23020.000000,22551.000000,22880.900391,22763.271484,10582
2014-05-29,22800.000000,23098.800781,22800.000000,22936.099609,22818.185547,2554
2014-05-30,22710.000000,22920.000000,22653.099609,22733.300781,22616.431641,3759
2014-06-02,22506.000000,23130.000000,22506.000000,23009.199219,22890.910156,5101
2014-06-03,22985.000000,23300.000000,22950.000000,23198.400391,23079.138672,3628
2014-06-04,23189.400391,23300.099609,23055.099609,23142.400391,23023.429688,2060
2014-06-05,23012.000000,23921.699219,23012.000000,23848.400391,23725.798828,7363
